"Source Name"	"Factor Value[year]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[location]"	"Term Source REF"	"Term Accession Number"
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Melilotus officinalis"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"10-1_1_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Melilotus officinalis"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"10-1_1_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Melilotus officinalis"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"10-1_2_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Melilotus officinalis"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"10-1_2_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Melilotus officinalis"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"10-1_3_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Melilotus officinalis"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"10-1_3_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Melilotus officinalis"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"10-2_1_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Melilotus officinalis"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"10-2_1_Seg1Ev2"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Melilotus officinalis"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"10-2_2_Seg1Ev1"	"Altai Krai"	""	""
"no_treatment"	"2016"	"year"	"CCONT"	"http://purl.obolibrary.org/obo/UO_0000036"	"Melilotus officinalis"	"NCBITAXON"	""	"leaf"	"BTO"	""	"Sample collection"	"10-2_2_Seg1Ev2"	"Altai Krai"	""	""
